circuit name,GBW, Gain, Pdiss, Fitness, time, performance weight, solution vector, solution path
SMC,6869560.0,98.6472,0.000373375,-5.073193992028163,2025-0521-125754,"[0, -1, 1]","[8.40744940e-05 1.38817342e-06 2.75233157e-04 1.75053059e-06
 4.00324286e-06 1.19162532e-06 8.06164085e-04 5.57423037e-07
 2.06263692e-05 1.04881248e-06 2.84588099e-12]",./circuit_database/SMC/result_folder/2025-0521-125754
SMC,11059900.0,97.4342,0.000431655,-5.138565252261967,2025-0521-125821,"[0, -1, 1]","[9.51273817e-05 1.38905470e-06 2.74607948e-04 1.73505497e-06
 6.62734562e-06 1.17492301e-06 8.21128553e-04 5.20976223e-07
 3.40399889e-06 1.03141210e-06 2.83499289e-12]",./circuit_database/SMC/result_folder/2025-0521-125821
SMC,7907600.0,98.0393,0.000405498,-5.080421335913662,2025-0521-125821,"[0, -1, 1]","[9.10984211e-05 1.39018337e-06 2.67122107e-04 1.74038144e-06
 4.68208790e-06 1.18346618e-06 8.19410869e-04 5.27661604e-07
 3.13650291e-06 1.03682742e-06 2.85203921e-12]",./circuit_database/SMC/result_folder/2025-0521-125821
SMC,45114100.0,85.8034,0.00600398,C2P_Simulator,2025-0521-234008,['NSGA-II'],"[8.6909946e-04 7.2743916e-07 3.5113140e-04 1.4071255e-06 2.6569483e-05
 1.5436517e-06 5.2253390e-04 5.1586079e-07 8.0325129e-04 1.9703955e-06
 2.0413896e-12]",./circuit_database/SMC/result_folder/2025-0521-234008
SMC,11059900.0,97.4342,0.000431655,C2P_Simulator,2025-0521-234008,['NSGA-II'],"[9.5127383e-05 1.3890547e-06 2.7460794e-04 1.7350550e-06 6.6273456e-06
 1.1749230e-06 8.2112855e-04 5.2097624e-07 3.4039988e-06 1.0314121e-06
 2.8349929e-12]",./circuit_database/SMC/result_folder/2025-0521-234008
SMC,53007300.0,85.2511,0.00625542,C2P_Simulator,2025-0521-234008,['NSGA-II'],"[8.9927297e-04 7.2208553e-07 3.2701954e-04 1.3065699e-06 2.8728775e-05
 1.4195862e-06 4.9928017e-04 5.0492287e-07 7.4968330e-04 1.9966931e-06
 1.9982570e-12]",./circuit_database/SMC/result_folder/2025-0521-234008
SMC,20791000.0,97.7411,0.00097874,C2P_Simulator,2025-0521-234008,['NSGA-II'],"[2.7266308e-04 1.7586723e-06 1.0967764e-04 1.9551244e-06 7.2468811e-06
 9.1139566e-07 7.4443448e-04 5.0327276e-07 3.0548643e-05 7.0156983e-07
 1.7346424e-12]",./circuit_database/SMC/result_folder/2025-0521-234008
SMC,41325600.0,86.7919,0.0057354,C2P_Simulator,2025-0521-234008,['NSGA-II'],"[8.7386742e-04 7.8133314e-07 3.7341288e-04 1.5473274e-06 2.6094829e-05
 1.6319196e-06 5.7622447e-04 5.5874813e-07 8.0263166e-04 1.9118700e-06
 2.1211342e-12]",./circuit_database/SMC/result_folder/2025-0521-234008
SMC,17283000.0,97.8982,0.000984555,C2P_Simulator,2025-0521-234008,['NSGA-II'],"[2.7616814e-04 1.7567450e-06 9.9611294e-05 1.9811912e-06 6.0463331e-06
 9.2634275e-07 7.4891665e-04 5.2932501e-07 2.0788561e-05 7.1527279e-07
 1.7327467e-12]",./circuit_database/SMC/result_folder/2025-0521-234008
SMC,51002900.0,85.4666,0.00621638,C2P_Simulator,2025-0521-234008,['NSGA-II'],"[8.9980819e-04 7.2866249e-07 3.2149907e-04 1.3239021e-06 2.7077251e-05
 1.4054932e-06 5.0797540e-04 5.0174435e-07 7.4997073e-04 1.9982460e-06
 1.9664214e-12]",./circuit_database/SMC/result_folder/2025-0521-234008
SMC,45606100.0,85.337,0.00605923,C2P_Simulator,2025-0521-234008,['NSGA-II'],"[8.8207843e-04 7.3294996e-07 3.3911713e-04 1.3463966e-06 2.4970201e-05
 1.4483887e-06 4.9053488e-04 5.1295569e-07 7.5294450e-04 1.9977895e-06
 1.9902626e-12]",./circuit_database/SMC/result_folder/2025-0521-234008
SMC,51762600.0,85.3673,0.00618572,C2P_Simulator,2025-0521-234008,['NSGA-II'],"[8.9368224e-04 7.2734690e-07 3.2076536e-04 1.3275411e-06 2.8227052e-05
 1.4183244e-06 4.9535400e-04 5.0219660e-07 7.4853923e-04 1.9927938e-06
 2.0066943e-12]",./circuit_database/SMC/result_folder/2025-0521-234008
SMC,50599800.0,85.3427,0.0061708,C2P_Simulator,2025-0521-234008,['NSGA-II'],"[8.8641682e-04 7.2109452e-07 3.2828207e-04 1.2747533e-06 2.7124925e-05
 1.3912659e-06 5.0690694e-04 5.0075153e-07 7.5183855e-04 1.9912750e-06
 2.0133391e-12]",./circuit_database/SMC/result_folder/2025-0521-234008
SMC,50967300.0,85.1349,0.00618339,C2P_Simulator,2025-0521-234008,['NSGA-II'],"[8.9892367e-04 7.3309366e-07 3.1190927e-04 1.2715323e-06 2.6921041e-05
 1.4085016e-06 4.8881787e-04 5.0355652e-07 7.4988999e-04 1.9784427e-06
 1.9623407e-12]",./circuit_database/SMC/result_folder/2025-0521-234008
SMC,29067700.0,96.6741,0.00139515,C2P_Simulator,2025-0521-234008,['NSGA-II'],"[3.8091990e-04 1.7273110e-06 4.9920072e-05 1.9998847e-06 1.2603365e-05
 9.6766428e-07 7.8830746e-04 5.2332592e-07 6.4205747e-06 7.0043058e-07
 1.6506263e-12]",./circuit_database/SMC/result_folder/2025-0521-234008
SMC,8474830.0,98.6249,0.000416228,C2P_Simulator,2025-0521-234008,['NSGA-II'],"[9.1433736e-05 1.3553514e-06 2.7831076e-04 1.7887728e-06 5.4234961e-06
 1.3180387e-06 8.4855617e-04 5.3449833e-07 1.6562073e-05 1.0681173e-06
 2.8299854e-12]",./circuit_database/SMC/result_folder/2025-0521-234008
SMC,11178800.0,98.1348,0.000481822,C2P_Simulator,2025-0521-234008,['NSGA-II'],"[1.0607461e-04 1.3734837e-06 2.9133234e-04 1.7423946e-06 6.7849051e-06
 1.1818171e-06 8.2165940e-04 5.5784039e-07 4.8796928e-06 1.0692958e-06
 2.8699135e-12]",./circuit_database/SMC/result_folder/2025-0521-234008
SMC,15333000.0,97.7444,0.000982164,C2P_Simulator,2025-0521-234008,['NSGA-II'],"[2.7483414e-04 1.7433319e-06 9.7448610e-05 1.9740385e-06 5.3601811e-06
 9.3428321e-07 7.5410859e-04 5.2479561e-07 2.4350646e-05 7.0558525e-07
 1.7165573e-12]",./circuit_database/SMC/result_folder/2025-0521-234008
SMC,51807900.0,85.2998,0.00620211,C2P_Simulator,2025-0521-234008,['NSGA-II'],"[8.9587929e-04 7.2698896e-07 3.2266101e-04 1.3160197e-06 2.8039403e-05
 1.4174079e-06 4.9556640e-04 5.0372790e-07 7.5084006e-04 1.9863376e-06
 1.9965806e-12]",./circuit_database/SMC/result_folder/2025-0521-234008
SMC,6869560.0,98.6472,0.000373375,C2P_Simulator,2025-0521-234008,['NSGA-II'],"[8.4074491e-05 1.3881735e-06 2.7523315e-04 1.7505306e-06 4.0032428e-06
 1.1916253e-06 8.0616411e-04 5.5742305e-07 2.0626368e-05 1.0488125e-06
 2.8458811e-12]",./circuit_database/SMC/result_folder/2025-0521-234008
SMC,36807800.0,89.8044,0.00532564,C2P_Simulator,2025-0521-234008,['NSGA-II'],"[9.7906264e-04 1.0016759e-06 4.9554632e-04 1.1626804e-06 8.8289480e-06
 6.2248455e-07 9.3770615e-04 5.1485245e-07 9.9143572e-04 1.7776987e-06
 1.6768852e-12]",./circuit_database/SMC/result_folder/2025-0521-234008
SMC,21271000.0,97.8817,0.00100255,C2P_Simulator,2025-0521-234008,['NSGA-II'],"[2.7816551e-04 1.7510307e-06 1.0351906e-04 1.9648151e-06 7.5885741e-06
 9.2412392e-07 7.5067836e-04 5.3019903e-07 2.2430042e-05 7.1234138e-07
 1.7351443e-12]",./circuit_database/SMC/result_folder/2025-0521-234008
SMC,41188300.0,87.1411,0.00550543,C2P_Simulator,2025-0521-234008,['NSGA-II'],"[8.8746089e-04 8.4545667e-07 3.8316296e-04 1.5974339e-06 2.7825425e-05
 1.7381094e-06 5.1609718e-04 5.2134021e-07 8.1432110e-04 1.9553079e-06
 2.1763448e-12]",./circuit_database/SMC/result_folder/2025-0521-234008
SMC,14709700.0,97.8011,0.000973502,C2P_Simulator,2025-0521-234008,['NSGA-II'],"[2.7325813e-04 1.7479481e-06 9.9082485e-05 1.9684464e-06 5.1753473e-06
 9.3787685e-07 7.4945285e-04 5.1954288e-07 2.0845986e-05 7.0678510e-07
 1.7417500e-12]",./circuit_database/SMC/result_folder/2025-0521-234008
SMC,23252400.0,97.8707,0.00101214,C2P_Simulator,2025-0521-234008,['NSGA-II'],"[2.7927716e-04 1.7493905e-06 1.0035056e-04 1.9725212e-06 8.5420334e-06
 9.3514137e-07 7.5017725e-04 5.1834729e-07 2.1397274e-05 7.0679550e-07
 1.7285240e-12]",./circuit_database/SMC/result_folder/2025-0521-234008
SMC,13759600.0,97.8717,0.000972069,C2P_Simulator,2025-0521-234008,['NSGA-II'],"[2.7465555e-04 1.7559579e-06 1.0007225e-04 1.9756644e-06 4.7218737e-06
 9.4620992e-07 7.4384973e-04 5.2418932e-07 1.7089727e-05 7.1267283e-07
 1.7138620e-12]",./circuit_database/SMC/result_folder/2025-0521-234008
SMC,7907600.0,98.0393,0.000405498,C2P_Simulator,2025-0521-234008,['NSGA-II'],"[9.1098424e-05 1.3901833e-06 2.6712212e-04 1.7403814e-06 4.6820878e-06
 1.1834662e-06 8.1941090e-04 5.2766160e-07 3.1365030e-06 1.0368274e-06
 2.8520391e-12]",./circuit_database/SMC/result_folder/2025-0521-234008
SMC,11377300.0,98.5203,0.000503,C2P_Simulator,2025-0521-234008,['NSGA-II'],"[1.1134928e-04 1.3777287e-06 2.7650068e-04 1.7475024e-06 6.9450507e-06
 1.1858511e-06 8.1871788e-04 5.5520297e-07 1.6286418e-05 1.0536711e-06
 2.8702405e-12]",./circuit_database/SMC/result_folder/2025-0521-234008
SMC,17963100.0,97.9359,0.000984559,C2P_Simulator,2025-0521-234008,['NSGA-II'],"[2.7601220e-04 1.7576212e-06 9.5985422e-05 1.9640215e-06 6.3134125e-06
 9.2800428e-07 7.4939948e-04 5.1214516e-07 1.7149481e-05 7.1450023e-07
 1.7285016e-12]",./circuit_database/SMC/result_folder/2025-0521-234008
SMC,15400900.0,92.7901,0.000899637,C2P_Simulator,2025-0521-234008,['NSGA-II'],"[2.7727254e-04 1.9931663e-06 1.8804592e-05 1.6696187e-06 1.1190204e-05
 1.5606024e-06 7.6483435e-04 5.4465312e-07 1.1885945e-06 5.2659959e-07
 1.7655125e-12]",./circuit_database/SMC/result_folder/2025-0521-234008
SMC,158205000.0,52.0493,0.00645397,C2P_Simulator,2025-0521-234008,['NSGA-II'],"[9.7141223e-04 1.5992083e-06 5.6277062e-05 1.6051532e-06 6.0065003e-04
 5.5348016e-07 7.3319231e-04 6.8433837e-07 3.9467086e-05 1.2816289e-06
 2.7055203e-12]",./circuit_database/SMC/result_folder/2025-0521-234008
SMC,15281100.0,97.6404,0.000970364,C2P_Simulator,2025-0521-234008,['NSGA-II'],"[2.7372845e-04 1.7607595e-06 1.0294118e-04 1.9626709e-06 5.5439400e-06
 9.7008672e-07 7.6138793e-04 5.1152961e-07 3.5786408e-05 7.1135929e-07
 1.7456390e-12]",./circuit_database/SMC/result_folder/2025-0521-234008
SMC,37255500.0,88.2119,0.0052917,C2P_Simulator,2025-0521-234008,['NSGA-II'],"[8.8086003e-04 8.8354966e-07 3.8086809e-04 1.4720288e-06 2.7445802e-05
 1.8212203e-06 6.3959986e-04 5.4086252e-07 8.1052363e-04 1.8554967e-06
 2.2594136e-12]",./circuit_database/SMC/result_folder/2025-0521-234008
